Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East,Turkey,Baby Food,Online,H,2023-12-25,237035,2023-12-31,361,13.83,9.22,4992.63,3328.42,1664.21
Middle East,UAE,Beverages,Offline,M,2023-12-23,679610,2024-01-07,414,14.2,12.56,5878.8,5199.84,678.96
Asia,China,Baby Food,Offline,M,2023-04-01,773080,2023-04-05,349,171.05,137.89,59696.45,48123.61,11572.84
Europe,United Kingdom,Clothing,Online,M,2023-12-25,601276,2024-01-04,220,90.28,74.71,19861.6,16436.2,3425.4
Europe,Germany,Electronics,Online,H,2023-05-22,504470,2023-06-06,71,43.2,22.09,3067.2,1568.39,1498.81
Middle East,Turkey,Baby Food,Online,L,2023-11-18,642424,2023-12-02,233,72.41,62.46,16871.53,14553.18,2318.35
Asia,South Korea,Clothing,Offline,C,2023-04-16,864443,2023-04-20,313,86.08,70.57,26943.04,22088.41,4854.63
Sub-Saharan Africa,Nigeria,Baby Food,Offline,M,2023-01-22,418208,2023-01-29,176,66.92,57.37,11777.92,10097.12,1680.8
Europe,United Kingdom,Clothing,Offline,H,2023-06-24,503342,2023-07-05,114,154.89,118.41,17657.46,13498.74,4158.72
North America,Canada,Beverages,Online,M,2023-12-03,797795,2023-12-11,427,92.41,70.57,39459.07,30133.39,9325.68
South America,Colombia,Beverages,Offline,H,2023-03-23,919604,2023-03-31,303,120.04,96.03,36372.12,29097.09,7275.03
North America,Mexico,Electronics,Offline,H,2023-04-19,960042,2023-05-03,367,148.45,108.1,54481.15,39672.7,14808.45
Middle East,UAE,Electronics,Online,H,2023-06-16,936577,2023-06-26,211,113.23,96.79,23891.53,20422.69,3468.84
Asia,India,Household,Offline,C,2023-07-08,200113,2023-07-12,296,86.17,43.84,25506.32,12976.64,12529.68
Middle East,Turkey,Household,Online,L,2023-08-11,257698,2023-08-14,293,130.35,97.1,38192.55,28450.3,9742.25
Europe,Germany,Electronics,Online,C,2023-03-18,886885,2023-03-31,329,41.03,26.77,13498.87,8807.33,4691.54
Middle East,Saudi Arabia,Clothing,Online,H,2023-03-31,164194,2023-04-11,335,91.43,47.34,30629.05,15858.9,14770.15
Asia,China,Clothing,Offline,L,2023-05-20,324154,2023-05-25,320,137.08,119.68,43865.6,38297.6,5568.0
South America,Argentina,Household,Online,H,2023-01-25,322373,2023-02-04,188,157.29,125.71,29570.52,23633.48,5937.04
North America,Canada,Baby Food,Offline,C,2023-11-07,869899,2023-11-17,37,12.95,6.61,479.15,244.57,234.58
South America,Chile,Household,Online,L,2023-07-05,900055,2023-07-18,483,46.02,24.83,22227.66,11992.89,10234.77
Sub-Saharan Africa,Nigeria,Office Supplies,Offline,L,2023-09-06,730341,2023-09-15,350,91.74,60.42,32109.0,21147.0,10962.0
Asia,India,Clothing,Offline,C,2023-10-27,351814,2023-10-31,352,166.98,142.35,58776.96,50107.2,8669.76
South America,Argentina,Baby Food,Offline,M,2023-08-20,767759,2023-09-01,387,50.64,38.8,19597.68,15015.6,4582.08
North America,United States,Household,Offline,M,2023-09-26,826726,2023-10-02,428,26.18,14.5,11205.04,6206.0,4999.04
North America,Mexico,Household,Offline,M,2023-01-12,248663,2023-01-24,41,61.41,55.0,2517.81,2255.0,262.81
Sub-Saharan Africa,Nigeria,Household,Online,M,2023-04-30,372011,2023-05-02,70,90.13,49.21,6309.1,3444.7,2864.4
North America,Canada,Clothing,Offline,L,2023-01-09,553443,2023-01-20,27,102.63,66.31,2771.01,1790.37,980.64
Asia,India,Electronics,Offline,L,2023-05-15,181632,2023-05-23,426,17.08,8.79,7276.08,3744.54,3531.54
Asia,India,Clothing,Online,C,2023-04-11,991636,2023-04-19,499,118.45,84.98,59106.55,42405.02,16701.53
South America,Chile,Beverages,Online,L,2023-01-01,318357,2023-01-15,271,158.52,134.3,42958.92,36395.3,6563.62
Sub-Saharan Africa,Kenya,Household,Online,H,2023-08-30,750924,2023-09-05,158,128.43,83.11,20291.94,13131.38,7160.56
Asia,India,Baby Food,Offline,L,2023-07-22,708673,2023-07-29,225,34.15,27.65,7683.75,6221.25,1462.5
South America,Brazil,Electronics,Offline,L,2023-10-26,585839,2023-11-05,260,143.18,92.22,37226.8,23977.2,13249.6
Asia,India,Clothing,Offline,C,2023-07-01,109337,2023-07-10,142,184.78,154.56,26238.76,21947.52,4291.24
South America,Colombia,Beverages,Offline,H,2023-08-07,434859,2023-08-15,129,30.18,19.48,3893.22,2512.92,1380.3
Europe,Italy,Clothing,Offline,H,2023-07-05,416557,2023-07-14,387,73.6,60.18,28483.2,23289.66,5193.54
Sub-Saharan Africa,Nigeria,Beverages,Online,M,2023-05-15,644640,2023-05-24,132,112.72,97.72,14879.04,12899.04,1980.0
Europe,Germany,Clothing,Offline,H,2023-05-17,233424,2023-05-30,418,167.2,137.99,69889.6,57679.82,12209.78
Middle East,Saudi Arabia,Beverages,Offline,L,2023-06-29,744885,2023-07-05,265,192.1,167.13,50906.5,44289.45,6617.05
Sub-Saharan Africa,Kenya,Clothing,Offline,C,2023-04-17,784385,2023-04-23,392,151.81,97.48,59509.52,38212.16,21297.36
Asia,Japan,Office Supplies,Online,C,2023-02-12,390409,2023-02-23,344,166.59,127.04,57306.96,43701.76,13605.2
South America,Argentina,Baby Food,Online,L,2023-01-02,217895,2023-01-13,159,140.97,85.08,22414.23,13527.72,8886.51
Europe,Germany,Electronics,Offline,H,2023-01-01,760357,2023-01-13,99,79.24,70.05,7844.76,6934.95,909.81
Asia,India,Office Supplies,Offline,M,2023-11-16,987327,2023-11-24,367,194.85,108.39,71509.95,39779.13,31730.82
Middle East,Saudi Arabia,Office Supplies,Offline,M,2023-07-24,253226,2023-08-03,133,59.67,35.94,7936.11,4780.02,3156.09
South America,Argentina,Beverages,Online,M,2023-02-19,541620,2023-02-22,108,92.21,81.76,9958.68,8830.08,1128.6
Asia,India,Baby Food,Offline,C,2023-08-20,639668,2023-08-31,119,59.53,48.98,7084.07,5828.62,1255.45
Sub-Saharan Africa,Ghana,Beverages,Online,C,2023-04-05,166935,2023-04-16,452,136.88,91.14,61869.76,41195.28,20674.48
Asia,India,Beverages,Online,M,2023-07-18,578637,2023-07-23,276,159.17,125.02,43930.92,34505.52,9425.4
South America,Argentina,Clothing,Offline,C,2023-09-16,771587,2023-09-29,373,29.74,20.64,11093.02,7698.72,3394.3
Middle East,Turkey,Clothing,Offline,H,2023-05-04,938082,2023-05-16,113,126.01,111.7,14239.13,12622.1,1617.03
North America,Canada,Household,Online,L,2023-01-17,330241,2023-01-19,403,168.7,115.33,67986.1,46477.99,21508.11
Middle East,UAE,Clothing,Online,C,2023-05-10,800415,2023-05-12,66,142.91,78.44,9432.06,5177.04,4255.02
Sub-Saharan Africa,Nigeria,Office Supplies,Online,C,2023-02-19,834733,2023-03-04,315,50.94,39.33,16046.1,12388.95,3657.15
Europe,France,Clothing,Online,L,2023-12-11,404932,2023-12-15,230,121.88,102.54,28032.4,23584.2,4448.2
North America,Canada,Electronics,Online,H,2023-06-30,207185,2023-07-11,360,47.45,39.65,17082.0,14274.0,2808.0
Europe,Spain,Electronics,Online,L,2023-07-28,843324,2023-08-03,425,75.29,50.31,31998.25,21381.75,10616.5
Europe,United Kingdom,Office Supplies,Online,M,2023-02-14,109708,2023-02-22,157,75.5,46.61,11853.5,7317.77,4535.73
North America,United States,Beverages,Online,M,2023-05-22,137783,2023-05-29,252,102.71,71.9,25882.92,18118.8,7764.12
North America,Mexico,Electronics,Offline,L,2023-01-19,608421,2023-01-24,407,33.13,17.75,13483.91,7224.25,6259.66
Europe,United Kingdom,Clothing,Offline,L,2023-09-29,453674,2023-10-11,183,23.49,13.43,4298.67,2457.69,1840.98
Europe,Italy,Office Supplies,Offline,H,2023-08-30,463698,2023-09-01,228,83.73,60.21,19090.44,13727.88,5362.56
Sub-Saharan Africa,Kenya,Electronics,Offline,M,2023-05-23,211089,2023-05-28,30,93.6,72.11,2808.0,2163.3,644.7
Europe,Germany,Baby Food,Offline,H,2023-10-25,466944,2023-11-04,51,99.16,78.43,5057.16,3999.93,1057.23
Middle East,Turkey,Clothing,Offline,L,2023-09-08,720942,2023-09-22,169,188.63,112.67,31878.47,19041.23,12837.24
Europe,Germany,Office Supplies,Online,H,2023-02-06,947763,2023-02-19,450,33.63,28.02,15133.5,12609.0,2524.5
North America,Mexico,Household,Offline,H,2023-04-17,118694,2023-05-01,300,32.48,28.8,9744.0,8640.0,1104.0
Sub-Saharan Africa,Nigeria,Office Supplies,Offline,M,2023-04-25,535856,2023-05-01,281,111.22,68.24,31252.82,19175.44,12077.38
North America,Canada,Household,Online,L,2023-01-07,566288,2023-01-18,104,18.12,11.47,1884.48,1192.88,691.6
North America,United States,Clothing,Offline,C,2023-12-15,782002,2023-12-21,108,47.26,30.25,5104.08,3267.0,1837.08
Sub-Saharan Africa,Ghana,Electronics,Online,H,2023-07-12,926001,2023-07-17,372,59.44,45.18,22111.68,16806.96,5304.72
Sub-Saharan Africa,Kenya,Electronics,Offline,C,2023-05-08,745706,2023-05-15,414,58.62,29.85,24268.68,12357.9,11910.78
Europe,United Kingdom,Electronics,Offline,M,2023-12-26,784109,2023-12-30,142,101.8,83.69,14455.6,11883.98,2571.62
South America,Argentina,Electronics,Offline,C,2023-08-09,948011,2023-08-21,311,56.3,40.56,17509.3,12614.16,4895.14
Middle East,Turkey,Clothing,Offline,C,2023-06-11,407625,2023-06-22,181,71.31,52.87,12907.11,9569.47,3337.64
Sub-Saharan Africa,Nigeria,Beverages,Online,H,2023-06-08,721028,2023-06-15,376,187.09,155.28,70345.84,58385.28,11960.56
South America,Argentina,Clothing,Offline,H,2023-06-20,432288,2023-07-03,325,85.18,63.97,27683.5,20790.25,6893.25
South America,Argentina,Electronics,Offline,L,2023-12-21,879737,2024-01-04,189,16.03,12.74,3029.67,2407.86,621.81
Middle East,Turkey,Office Supplies,Offline,H,2023-01-24,146905,2023-02-04,223,63.29,54.69,14113.67,12195.87,1917.8
Europe,Germany,Beverages,Online,L,2023-01-28,550965,2023-01-31,340,133.76,92.04,45478.4,31293.6,14184.8
North America,Canada,Beverages,Offline,C,2023-01-09,784116,2023-01-18,29,147.22,87.49,4269.38,2537.21,1732.17
Sub-Saharan Africa,Kenya,Beverages,Online,H,2023-05-16,695593,2023-05-21,261,98.95,69.68,25825.95,18186.48,7639.47
Sub-Saharan Africa,Ghana,Baby Food,Offline,L,2023-08-11,281150,2023-08-15,364,109.1,70.64,39712.4,25712.96,13999.44
Middle East,Turkey,Office Supplies,Offline,C,2023-03-15,260429,2023-03-29,184,50.58,27.22,9306.72,5008.48,4298.24
Middle East,Turkey,Office Supplies,Online,C,2023-06-29,342617,2023-07-14,255,137.77,85.09,35131.35,21697.95,13433.4
South America,Brazil,Beverages,Online,C,2023-12-11,489814,2023-12-20,467,121.49,98.17,56735.83,45845.39,10890.44
North America,Canada,Household,Online,M,2023-02-11,501191,2023-02-16,46,54.2,35.78,2493.2,1645.88,847.32
Sub-Saharan Africa,Ghana,Baby Food,Offline,H,2023-10-31,957979,2023-11-04,193,47.93,24.12,9250.49,4655.16,4595.33
South America,Chile,Household,Offline,H,2023-10-09,947579,2023-10-18,437,186.98,144.13,81710.26,62984.81,18725.45
Middle East,Turkey,Household,Online,C,2023-04-02,691557,2023-04-15,199,79.35,42.48,15790.65,8453.52,7337.13
North America,United States,Beverages,Offline,L,2023-04-28,634992,2023-05-06,493,187.24,112.47,92309.32,55447.71,36861.61
North America,Canada,Beverages,Online,L,2023-03-06,784911,2023-03-15,129,101.43,59.24,13084.47,7641.96,5442.51
North America,Mexico,Baby Food,Online,C,2023-06-14,552940,2023-06-19,225,161.04,135.77,36234.0,30548.25,5685.75
North America,Mexico,Office Supplies,Offline,H,2023-11-05,994423,2023-11-18,332,29.18,17.27,9687.76,5733.64,3954.12
North America,Canada,Beverages,Online,C,2023-08-13,782157,2023-08-16,493,68.15,57.85,33597.95,28520.05,5077.9
South America,Argentina,Baby Food,Online,C,2023-08-03,388340,2023-08-16,167,52.71,44.67,8802.57,7459.89,1342.68
Sub-Saharan Africa,Kenya,Household,Offline,L,2023-10-18,574822,2023-10-29,295,94.2,65.68,27789.0,19375.6,8413.4
Asia,China,Clothing,Offline,C,2023-10-24,286746,2023-10-31,467,94.45,48.15,44108.15,22486.05,21622.1
North America,United States,Clothing,Online,M,2023-11-09,105878,2023-11-20,62,186.83,112.1,11583.46,6950.2,4633.26
Europe,Spain,Household,Online,C,2023-02-24,630857,2023-03-03,410,110.49,82.6,45300.9,33866.0,11434.9
Sub-Saharan Africa,Nigeria,Office Supplies,Offline,H,2023-02-24,353710,2023-02-27,290,29.31,20.39,8499.9,5913.1,2586.8
Europe,United Kingdom,Beverages,Offline,C,2023-10-12,306649,2023-10-21,160,50.74,27.95,8118.4,4472.0,3646.4
Sub-Saharan Africa,South Africa,Office Supplies,Offline,M,2023-12-02,992854,2023-12-17,134,175.25,95.89,23483.5,12849.26,10634.24
Europe,Germany,Household,Online,L,2023-05-05,993780,2023-05-15,407,164.54,109.56,66967.78,44590.92,22376.86
Europe,Italy,Beverages,Online,M,2023-08-23,221905,2023-08-29,216,155.15,98.03,33512.4,21174.48,12337.92
Europe,Germany,Baby Food,Online,H,2023-11-19,274852,2023-11-21,167,151.17,128.52,25245.39,21462.84,3782.55
South America,Argentina,Office Supplies,Offline,M,2023-02-09,566996,2023-02-20,166,34.68,25.42,5756.88,4219.72,1537.16
Europe,United Kingdom,Baby Food,Offline,C,2023-10-12,845355,2023-10-15,176,20.35,10.74,3581.6,1890.24,1691.36
Asia,South Korea,Beverages,Online,L,2023-08-14,748088,2023-08-20,166,112.42,83.36,18661.72,13837.76,4823.96
Asia,South Korea,Baby Food,Offline,H,2023-05-09,832717,2023-05-12,329,87.27,67.87,28711.83,22329.23,6382.6
Europe,Spain,Clothing,Online,M,2023-12-11,885300,2023-12-24,151,11.61,8.95,1753.11,1351.45,401.66
Middle East,Turkey,Household,Offline,L,2023-03-03,585882,2023-03-10,144,173.81,121.15,25028.64,17445.6,7583.04
North America,Mexico,Electronics,Online,C,2023-03-23,572434,2023-04-05,429,39.53,28.64,16958.37,12286.56,4671.81
North America,Canada,Clothing,Online,C,2023-06-14,976826,2023-06-29,59,73.9,56.64,4360.1,3341.76,1018.34
Asia,India,Electronics,Online,L,2023-10-28,343864,2023-11-08,364,61.62,31.31,22429.68,11396.84,11032.84
South America,Argentina,Baby Food,Online,M,2023-04-17,281993,2023-04-20,225,26.98,19.87,6070.5,4470.75,1599.75
Europe,France,Office Supplies,Online,M,2023-05-10,865267,2023-05-18,439,160.85,128.17,70613.15,56266.63,14346.52
South America,Colombia,Beverages,Offline,H,2023-02-12,566511,2023-02-22,227,174.79,131.59,39677.33,29870.93,9806.4
Asia,Japan,Clothing,Online,M,2023-11-02,750677,2023-11-09,110,166.35,84.91,18298.5,9340.1,8958.4
South America,Chile,Office Supplies,Offline,C,2023-10-21,498549,2023-10-23,174,67.5,36.38,11745.0,6330.12,5414.88
South America,Chile,Electronics,Online,H,2023-07-05,565395,2023-07-08,83,29.25,21.63,2427.75,1795.29,632.46
Middle East,Saudi Arabia,Beverages,Online,M,2023-10-31,529506,2023-11-08,104,30.22,27.02,3142.88,2810.08,332.8
Europe,United Kingdom,Clothing,Online,L,2023-03-13,709321,2023-03-17,431,163.41,92.43,70429.71,39837.33,30592.38
Asia,India,Clothing,Offline,L,2023-10-20,689362,2023-10-30,49,30.15,18.14,1477.35,888.86,588.49
South America,Chile,Electronics,Online,C,2023-12-28,337291,2024-01-07,23,188.12,152.38,4326.76,3504.74,822.02
Europe,Italy,Electronics,Offline,C,2023-12-15,377047,2023-12-25,47,73.71,61.28,3464.37,2880.16,584.21
North America,Canada,Household,Offline,C,2023-12-22,846753,2024-01-06,180,24.6,18.14,4428.0,3265.2,1162.8
South America,Chile,Electronics,Offline,L,2023-12-10,793179,2023-12-14,165,51.52,44.24,8500.8,7299.6,1201.2
Europe,Germany,Beverages,Offline,M,2023-04-11,975842,2023-04-24,418,135.16,88.45,56496.88,36972.1,19524.78
Sub-Saharan Africa,South Africa,Electronics,Online,C,2023-08-05,465036,2023-08-10,100,99.45,88.59,9945.0,8859.0,1086.0
Middle East,Saudi Arabia,Electronics,Online,C,2023-07-17,105051,2023-07-26,105,58.9,42.22,6184.5,4433.1,1751.4
Sub-Saharan Africa,Nigeria,Household,Offline,L,2023-10-07,327412,2023-10-12,295,163.06,133.36,48102.7,39341.2,8761.5
South America,Chile,Baby Food,Offline,L,2023-07-07,161413,2023-07-16,498,100.04,56.6,49819.92,28186.8,21633.12
North America,Canada,Beverages,Offline,C,2023-05-24,654629,2023-05-31,432,191.81,151.66,82861.92,65517.12,17344.8
Asia,South Korea,Beverages,Online,M,2023-12-07,352447,2023-12-12,490,147.36,85.37,72206.4,41831.3,30375.1
North America,Mexico,Beverages,Online,L,2023-07-22,241336,2023-07-24,240,58.33,45.79,13999.2,10989.6,3009.6
South America,Chile,Baby Food,Online,H,2023-05-21,231405,2023-05-25,377,59.97,38.52,22608.69,14522.04,8086.65
South America,Argentina,Office Supplies,Online,L,2023-05-19,851494,2023-05-29,392,35.63,19.22,13966.96,7534.24,6432.72
Europe,France,Electronics,Online,H,2023-11-04,232060,2023-11-06,130,146.88,82.97,19094.4,10786.1,8308.3
North America,Canada,Household,Online,M,2023-09-09,301818,2023-09-22,12,132.01,81.96,1584.12,983.52,600.6
North America,Mexico,Baby Food,Offline,M,2023-11-22,229286,2023-11-26,464,199.29,123.27,92470.56,57197.28,35273.28
Middle East,UAE,Office Supplies,Offline,C,2023-05-24,143356,2023-05-29,143,63.7,34.84,9109.1,4982.12,4126.98
South America,Brazil,Beverages,Online,C,2023-03-26,848894,2023-03-29,410,96.84,80.13,39704.4,32853.3,6851.1
Middle East,Turkey,Household,Online,H,2023-07-02,832586,2023-07-16,92,103.31,90.55,9504.52,8330.6,1173.92
North America,United States,Office Supplies,Offline,L,2023-04-15,144098,2023-04-27,58,74.78,47.85,4337.24,2775.3,1561.94
South America,Argentina,Beverages,Online,H,2023-04-17,738988,2023-04-23,362,138.6,115.35,50173.2,41756.7,8416.5
Asia,Japan,Clothing,Online,M,2023-02-10,174255,2023-02-12,160,186.45,139.14,29832.0,22262.4,7569.6
Europe,Germany,Baby Food,Online,M,2023-05-20,136991,2023-05-29,281,66.2,45.27,18602.2,12720.87,5881.33
Middle East,Turkey,Electronics,Online,C,2023-12-15,420004,2023-12-22,218,45.44,28.82,9905.92,6282.76,3623.16
South America,Argentina,Office Supplies,Offline,H,2023-08-26,793928,2023-09-09,395,68.41,47.8,27021.95,18881.0,8140.95
Europe,Spain,Office Supplies,Offline,L,2023-11-13,406734,2023-11-23,89,22.18,12.78,1974.02,1137.42,836.6
South America,Argentina,Electronics,Online,M,2023-08-27,711281,2023-09-07,35,192.93,137.87,6752.55,4825.45,1927.1
Asia,South Korea,Baby Food,Online,M,2023-07-14,653552,2023-07-27,170,192.05,132.42,32648.5,22511.4,10137.1
Europe,Italy,Household,Offline,C,2023-11-02,979218,2023-11-17,454,171.53,124.07,77874.62,56327.78,21546.84
Middle East,Turkey,Clothing,Offline,C,2023-12-16,951121,2023-12-25,22,20.56,18.46,452.32,406.12,46.2
Sub-Saharan Africa,South Africa,Baby Food,Online,H,2023-12-28,581880,2024-01-12,354,165.68,116.57,58650.72,41265.78,17384.94
Middle East,UAE,Beverages,Online,H,2023-04-19,600975,2023-04-23,119,125.94,94.72,14986.86,11271.68,3715.18
South America,Brazil,Electronics,Online,L,2023-09-22,445346,2023-09-25,500,151.82,76.32,75910.0,38160.0,37750.0
Middle East,UAE,Office Supplies,Online,M,2023-02-20,488003,2023-03-07,442,61.77,34.19,27302.34,15111.98,12190.36
Europe,Italy,Clothing,Online,C,2023-12-05,469946,2023-12-12,337,165.87,122.78,55898.19,41376.86,14521.33
North America,Mexico,Office Supplies,Online,C,2023-09-01,537408,2023-09-04,363,67.88,54.92,24640.44,19935.96,4704.48
Sub-Saharan Africa,South Africa,Electronics,Online,H,2023-01-03,651540,2023-01-09,350,70.39,56.91,24636.5,19918.5,4718.0
North America,United States,Electronics,Offline,L,2023-05-11,790352,2023-05-26,460,72.19,40.62,33207.4,18685.2,14522.2
Europe,France,Household,Online,C,2023-12-08,174816,2023-12-16,134,197.79,155.6,26503.86,20850.4,5653.46
North America,Mexico,Beverages,Online,M,2023-11-03,148882,2023-11-05,118,6.75,5.05,796.5,595.9,200.6
Europe,France,Electronics,Online,H,2023-06-21,825393,2023-07-02,196,50.91,42.98,9978.36,8424.08,1554.28
Middle East,UAE,Beverages,Online,M,2023-05-05,160102,2023-05-20,426,132.91,98.77,56619.66,42076.02,14543.64
Middle East,UAE,Clothing,Online,H,2023-01-02,636661,2023-01-15,346,84.5,43.71,29237.0,15123.66,14113.34
North America,Canada,Baby Food,Online,C,2023-05-28,421778,2023-06-05,330,148.38,122.36,48965.4,40378.8,8586.6
Asia,India,Electronics,Offline,M,2023-10-18,416229,2023-10-24,321,92.59,52.24,29721.39,16769.04,12952.35
Europe,Italy,Clothing,Online,C,2023-11-30,474795,2023-12-12,441,37.21,28.22,16409.61,12445.02,3964.59
Europe,Spain,Household,Online,H,2023-04-30,232091,2023-05-08,155,41.54,29.34,6438.7,4547.7,1891.0
Europe,Spain,Beverages,Offline,L,2023-05-11,516990,2023-05-25,225,42.76,25.48,9621.0,5733.0,3888.0
South America,Chile,Office Supplies,Online,H,2023-03-05,330197,2023-03-10,499,163.36,105.72,81516.64,52754.28,28762.36
Asia,China,Beverages,Online,M,2023-02-15,563264,2023-02-17,442,66.55,48.73,29415.1,21538.66,7876.44
North America,United States,Electronics,Offline,L,2023-02-16,185529,2023-03-03,209,9.66,6.3,2018.94,1316.7,702.24
Sub-Saharan Africa,Ghana,Household,Offline,H,2023-11-25,590301,2023-12-07,138,112.76,93.27,15560.88,12871.26,2689.62
Middle East,UAE,Beverages,Online,L,2023-11-22,138939,2023-12-06,60,73.8,40.65,4428.0,2439.0,1989.0
Sub-Saharan Africa,South Africa,Beverages,Online,L,2023-09-17,623771,2023-09-22,40,133.79,102.39,5351.6,4095.6,1256.0
Europe,Germany,Electronics,Online,M,2023-10-28,462321,2023-11-06,60,187.51,139.76,11250.6,8385.6,2865.0
Sub-Saharan Africa,South Africa,Baby Food,Online,M,2023-12-08,928605,2023-12-17,367,115.79,69.6,42494.93,25543.2,16951.73
Sub-Saharan Africa,Nigeria,Baby Food,Online,C,2023-04-11,256716,2023-04-20,161,104.33,89.61,16797.13,14427.21,2369.92
North America,United States,Household,Online,H,2023-03-30,484783,2023-04-09,34,73.24,42.95,2490.16,1460.3,1029.86
North America,Canada,Office Supplies,Online,H,2023-02-06,361051,2023-02-18,208,81.47,59.44,16945.76,12363.52,4582.24
Sub-Saharan Africa,Ghana,Household,Offline,M,2023-01-29,830342,2023-02-01,458,22.22,11.94,10176.76,5468.52,4708.24
Asia,China,Clothing,Offline,M,2023-05-07,796754,2023-05-20,267,177.57,107.32,47411.19,28654.44,18756.75
Europe,Germany,Household,Online,C,2023-02-15,345503,2023-02-28,95,10.14,7.59,963.3,721.05,242.25
South America,Chile,Baby Food,Online,C,2023-05-23,292518,2023-05-29,36,26.88,16.05,967.68,577.8,389.88
Asia,China,Baby Food,Online,L,2023-08-28,187317,2023-09-10,43,26.75,20.03,1150.25,861.29,288.96
Sub-Saharan Africa,Ghana,Electronics,Online,L,2023-09-20,715183,2023-10-01,461,144.84,76.39,66771.24,35215.79,31555.45
South America,Chile,Clothing,Online,L,2023-05-28,146817,2023-06-08,113,59.69,44.82,6744.97,5064.66,1680.31
Middle East,UAE,Household,Offline,M,2023-08-08,701755,2023-08-11,134,7.09,4.01,950.06,537.34,412.72
Sub-Saharan Africa,Kenya,Electronics,Online,L,2023-03-16,238307,2023-03-28,303,76.6,57.77,23209.8,17504.31,5705.49
Middle East,Saudi Arabia,Clothing,Online,C,2023-12-13,673579,2023-12-17,175,157.32,93.44,27531.0,16352.0,11179.0
North America,United States,Baby Food,Online,H,2023-05-16,585221,2023-05-20,188,54.26,35.21,10200.88,6619.48,3581.4
Middle East,UAE,Household,Offline,C,2023-01-26,631978,2023-02-07,112,188.72,117.29,21136.64,13136.48,8000.16
South America,Brazil,Baby Food,Offline,L,2023-03-31,233553,2023-04-13,250,183.69,149.71,45922.5,37427.5,8495.0
Europe,Spain,Household,Online,C,2023-02-10,858445,2023-02-25,48,53.56,29.99,2570.88,1439.52,1131.36
Middle East,UAE,Office Supplies,Online,C,2023-05-19,755702,2023-05-23,72,31.38,18.07,2259.36,1301.04,958.32
North America,Canada,Electronics,Offline,C,2023-11-18,464063,2023-12-02,323,60.23,36.2,19454.29,11692.6,7761.69
Europe,Spain,Electronics,Online,H,2023-03-13,129910,2023-03-21,140,29.92,15.42,4188.8,2158.8,2030.0
Asia,Japan,Office Supplies,Offline,M,2023-12-31,847224,2024-01-07,449,18.08,12.49,8117.92,5608.01,2509.91
Europe,Germany,Electronics,Offline,H,2023-01-24,317997,2023-01-30,328,174.31,132.49,57173.68,43456.72,13716.96
Europe,Spain,Clothing,Online,C,2023-08-19,954878,2023-08-23,202,80.77,59.3,16315.54,11978.6,4336.94
South America,Argentina,Electronics,Online,C,2023-01-15,246088,2023-01-25,309,55.9,41.95,17273.1,12962.55,4310.55
Asia,India,Beverages,Online,C,2023-12-14,616777,2023-12-29,291,15.42,10.12,4487.22,2944.92,1542.3
Sub-Saharan Africa,Kenya,Household,Offline,C,2023-03-14,922977,2023-03-22,459,91.35,78.21,41929.65,35898.39,6031.26
Asia,South Korea,Baby Food,Online,H,2023-05-09,387542,2023-05-21,458,69.55,56.62,31853.9,25931.96,5921.94
North America,United States,Household,Online,H,2023-06-23,323236,2023-07-06,458,44.04,31.91,20170.32,14614.78,5555.54
Asia,China,Electronics,Online,M,2023-03-31,728734,2023-04-05,60,46.8,23.81,2808.0,1428.6,1379.4
South America,Chile,Clothing,Offline,H,2023-08-18,871679,2023-09-02,43,199.93,108.26,8596.99,4655.18,3941.81
North America,Mexico,Clothing,Online,C,2023-08-28,515793,2023-09-03,302,41.22,21.91,12448.44,6616.82,5831.62
Europe,Germany,Electronics,Online,H,2023-06-15,871350,2023-06-18,178,157.35,83.47,28008.3,14857.66,13150.64
North America,United States,Household,Offline,M,2023-04-17,134478,2023-04-20,494,139.19,74.43,68759.86,36768.42,31991.44
Asia,South Korea,Electronics,Offline,L,2023-10-23,180530,2023-11-02,369,57.45,38.79,21199.05,14313.51,6885.54
Asia,India,Household,Online,H,2023-10-12,410819,2023-10-22,277,150.83,101.55,41779.91,28129.35,13650.56
Middle East,Saudi Arabia,Office Supplies,Offline,M,2023-06-24,530172,2023-07-04,188,25.98,21.68,4884.24,4075.84,808.4
Middle East,Saudi Arabia,Office Supplies,Online,C,2023-02-19,434842,2023-03-01,212,151.9,85.71,32202.8,18170.52,14032.28
Europe,United Kingdom,Office Supplies,Online,H,2023-11-10,868387,2023-11-16,449,32.98,29.28,14808.02,13146.72,1661.3
Sub-Saharan Africa,Kenya,Beverages,Offline,M,2023-11-21,195079,2023-11-25,58,77.24,67.66,4479.92,3924.28,555.64
Middle East,Saudi Arabia,Clothing,Offline,H,2023-12-04,840319,2023-12-11,237,26.61,15.06,6306.57,3569.22,2737.35
Europe,Spain,Clothing,Offline,L,2023-06-25,331788,2023-06-30,371,62.86,48.04,23321.06,17822.84,5498.22
Sub-Saharan Africa,Kenya,Clothing,Offline,H,2023-11-14,328076,2023-11-19,493,156.64,82.68,77223.52,40761.24,36462.28
Asia,China,Household,Online,M,2023-06-03,702681,2023-06-07,116,182.36,156.36,21153.76,18137.76,3016.0
